GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHH,AIANHHA,TRACTA,C_CITYA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,DIVISION,DIVISIONA,MSA_CMSA,MSA_CMSAA,PLACE,PLACEA,PMSA,PMSAA,REGION,REGIONA,STATE,STATEA,URB_AREA,URB_AREAA,ANPSADPI,FGW001
G0100930,1990,"","","","","","","",Marion,093,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Marion County,283998840
G0100950,1990,"","","","","","","",Marshall,095,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Marshall County,753310853
G0100970,1990,"","","","","","","",Mobile,097,"","","",6,"",5160,"","","",9999,"",3,Alabama,01,"","",Mobile County,4161701828
G0100990,1990,"","","","","","","",Monroe,099,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Monroe County,220984495
G0101010,1990,"","","","","","","",Montgomery,101,"","","",6,"",5240,"","","",9999,"",3,Alabama,01,"","",Montgomery County,2621584320
G0101030,1990,"","","","","","","",Morgan,103,"","","",6,"",2030,"","","",9999,"",3,Alabama,01,"","",Morgan County,1272485365
G0101050,1990,"","","","","","","",Perry,105,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Perry County,84827012
G0101070,1990,"","","","","","","",Pickens,107,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Pickens County,175954907
G0101090,1990,"","","","","","","",Pike,109,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Pike County,252154208
G0101110,1990,"","","","","","","",Randolph,111,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Randolph County,179696268
G0101130,1990,"","","","","","","",Russell,113,"","","",6,"",1800,"","","",9999,"",3,Alabama,01,"","",Russell County,447057180
G0101150,1990,"","","","","","","",St Clair,115,"","","",6,"",1000,"","","",9999,"",3,Alabama,01,"","",St. Clair County,522966755
G0101170,1990,"","","","","","","",Shelby,117,"","","",6,"",1000,"","","",9999,"",3,Alabama,01,"","",Shelby County,1606238515
G0101190,1990,"","","","","","","",Sumter,119,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Sumter County,124067505
G0101210,1990,"","","","","","","",Talladega,121,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Talladega County,708630112
G0101230,1990,"","","","","","","",Tallapoosa,123,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Tallapoosa County,422197733
G0101250,1990,"","","","","","","",Tuscaloosa,125,"","","",6,"",8600,"","","",9999,"",3,Alabama,01,"","",Tuscaloosa County,1686808135
G0101270,1990,"","","","","","","",Walker,127,"","","",6,"",1000,"","","",9999,"",3,Alabama,01,"","",Walker County,680994862
G0101290,1990,"","","","","","","",Washington,129,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Washington County,138462162
G0101310,1990,"","","","","","","",Wilcox,131,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Wilcox County,87555494
G0101330,1990,"","","","","","","",Winston,133,"","","",6,"",9999,"","","",9999,"",3,Alabama,01,"","",Winston County,204743710
G0200130,1990,"","","","","","","",Aleutians East,013,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Aleutians East Borough,29823831
G0200160,1990,"","","","","","","",Aleutians West,016,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Aleutians West Census Area,80161268
G0200200,1990,"","","","","","","",Anchorage,020,"","","",9,"",0380,"","","",9999,"",4,Alaska,02,"","",Anchorage Borough,4385406386
G0200500,1990,"","","","","","","",Bethel,050,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Bethel Census Area,118927079
G0200600,1990,"","","","","","","",Bristol Bay,060,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Bristol Bay Borough,22245575
G0200700,1990,"","","","","","","",Dillingham,070,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Dillingham Census Area,52192600
G0200900,1990,"","","","","","","",Fairbanks North Star,090,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Fairbanks North Star Borough,1196476336
G0201000,1990,"","","","","","","",Haines,100,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Haines Borough,34320322
G0201100,1990,"","","","","","","",Juneau,110,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Juneau Borough,529381234
G0201220,1990,"","","","","","","",Kenai Peninsula,122,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Kenai Peninsula Borough,727835597
G0201300,1990,"","","","","","","",Ketchikan Gateway,130,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Ketchikan Gateway Borough,258551273
G0201500,1990,"","","","","","","",Kodiak Island,150,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Kodiak Island Borough,248653710
G0201640,1990,"","","","","","","",Lake And Peninsula,164,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Lake and Peninsula Borough,18457970
G0201700,1990,"","","","","","","",Matanuska-Susitna,170,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Matanuska-Susitna Borough,625230198
G0201800,1990,"","","","","","","",Nome,180,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Nome Census Area,88225294
G0201850,1990,"","","","","","","",North Slope,185,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",North Slope Borough,99330050
G0201880,1990,"","","","","","","",Northwest Arctic,188,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Northwest Arctic Borough,61542305
G0202010,1990,"","","","","","","",Prince Of Wales-Outer Ketchikan,201,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Prince of Wales-Outer Ketchikan Census Area,89142968
G0202200,1990,"","","","","","","",Sitka,220,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Sitka Borough,140158052
G0202310,1990,"","","","","","","",Skagway-Yakutat-Angoon,231,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Skagway-Yakutat-Angoon Census Area,61734397
G0202400,1990,"","","","","","","",Southeast Fairbanks,240,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Southeast Fairbanks Census Area,70787753
G0202610,1990,"","","","","","","",Valdez-Cordova,261,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Valdez-Cordova Census Area,212025718
G0202700,1990,"","","","","","","",Wade Hampton,270,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Wade Hampton Census Area,37648352
G0202800,1990,"","","","","","","",Wrangell-Petersburg,280,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Wrangell-Petersburg Census Area,129591434
G0202900,1990,"","","","","","","",Yukon-Koyukuk,290,"","","",9,"",9999,"","","",9999,"",4,Alaska,02,"","",Yukon-Koyukuk Census Area,88788643
G0400010,1990,"","","","","","","",Apache,001,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Apache County,330115396
G0400030,1990,"","","","","","","",Cochise,003,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Cochise County,985372489
G0400050,1990,"","","","","","","",Coconino,005,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Coconino County,971572786
G0400070,1990,"","","","","","","",Gila,007,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Gila County,411593017
G0400090,1990,"","","","","","","",Graham,009,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Graham County,194152220
G0400110,1990,"","","","","","","",Greenlee,011,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Greenlee County,78509955
G0400120,1990,"","","","","","","",La Paz,012,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",La Paz County,127750113
G0400130,1990,"","","","","","","",Maricopa,013,"","","",8,"",6200,"","","",9999,"",4,Arizona,04,"","",Maricopa County,31515382856
G0400150,1990,"","","","","","","",Mohave,015,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Mohave County,1099727363
G0400170,1990,"","","","","","","",Navajo,017,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Navajo County,566365680
G0400190,1990,"","","","","","","",Pima,019,"","","",8,"",8520,"","","",9999,"",4,Arizona,04,"","",Pima County,8683431546
G0400210,1990,"","","","","","","",Pinal,021,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Pinal County,1018702447
G0400230,1990,"","","","","","","",Santa Cruz,023,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Santa Cruz County,264873679
G0400250,1990,"","","","","","","",Yavapai,025,"","","",8,"",9999,"","","",9999,"",4,Arizona,04,"","",Yavapai County,1281112307
G0400270,1990,"","","","","","","",Yuma,027,"","","",8,"",9360,"","","",9999,"",4,Arizona,04,"","",Yuma County,1071657784
G0500010,1990,"","","","","","","",Arkansas,001,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Arkansas County,241165443
G0500030,1990,"","","","","","","",Ashley,003,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Ashley County,234829651
G0500050,1990,"","","","","","","",Baxter,005,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Baxter County,331939552
G0500070,1990,"","","","","","","",Benton,007,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Benton County,1190114837
G0500090,1990,"","","","","","","",Boone,009,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Boone County,284471727
G0500110,1990,"","","","","","","",Bradley,011,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Bradley County,102818012
G0500130,1990,"","","","","","","",Calhoun,013,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Calhoun County,54730269
G0500150,1990,"","","","","","","",Carroll,015,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Carroll County,189379541
G0500170,1990,"","","","","","","",Chicot,017,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Chicot County,115460746
G0500190,1990,"","","","","","","",Clark,019,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Clark County,188880014
G0500210,1990,"","","","","","","",Clay,021,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Clay County,161793113
G0500230,1990,"","","","","","","",Cleburne,023,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Cleburne County,193436377
G0500250,1990,"","","","","","","",Cleveland,025,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Cleveland County,69815877
G0500270,1990,"","","","","","","",Columbia,027,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Columbia County,238965639
G0500290,1990,"","","","","","","",Conway,029,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Conway County,173501222
G0500310,1990,"","","","","","","",Craighead,031,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Craighead County,773231539
G0500330,1990,"","","","","","","",Crawford,033,"","","",7,"",2720,"","","",9999,"",3,Arkansas,05,"","",Crawford County,407876655
G0500350,1990,"","","","","","","",Crittenden,035,"","","",7,"",4920,"","","",9999,"",3,Arkansas,05,"","",Crittenden County,465153795
G0500370,1990,"","","","","","","",Cross,037,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Cross County,167025202
G0500390,1990,"","","","","","","",Dallas,039,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Dallas County,86298976
G0500410,1990,"","","","","","","",Desha,041,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Desha County,141682306
G0500430,1990,"","","","","","","",Drew,043,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Drew County,156285569
G0500450,1990,"","","","","","","",Faulkner,045,"","","",7,"",4400,"","","",9999,"",3,Arkansas,05,"","",Faulkner County,594760337
G0500470,1990,"","","","","","","",Franklin,047,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Franklin County,130629590
G0500490,1990,"","","","","","","",Fulton,049,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Fulton County,81948423
G0500510,1990,"","","","","","","",Garland,051,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Garland County,833290684
G0500530,1990,"","","","","","","",Grant,053,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Grant County,143106491
G0500550,1990,"","","","","","","",Greene,055,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Greene County,308855655
G0500570,1990,"","","","","","","",Hempstead,057,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Hempstead County,182348690
G0500590,1990,"","","","","","","",Hot Spring,059,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Hot Spring County,236348797
G0500610,1990,"","","","","","","",Howard,061,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Howard County,129059806
G0500630,1990,"","","","","","","",Independence,063,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Independence County,322553063
G0500650,1990,"","","","","","","",Izard,065,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Izard County,99609504
G0500670,1990,"","","","","","","",Jackson,067,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Jackson County,169271261
G0500690,1990,"","","","","","","",Jefferson,069,"","","",7,"",6240,"","","",9999,"",3,Arkansas,05,"","",Jefferson County,816150926
G0500710,1990,"","","","","","","",Johnson,071,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Johnson County,160918852
G0500730,1990,"","","","","","","",Lafayette,073,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Lafayette County,72572791
G0500750,1990,"","","","","","","",Lawrence,075,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Lawrence County,141694047
G0500770,1990,"","","","","","","",Lee,077,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Lee County,85179858
G0500790,1990,"","","","","","","",Lincoln,079,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Lincoln County,94383739
G0500810,1990,"","","","","","","",Little River,081,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Little River County,138208078
G0500830,1990,"","","","","","","",Logan,083,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Logan County,167270478
G0500850,1990,"","","","","","","",Lonoke,085,"","","",7,"",4400,"","","",9999,"",3,Arkansas,05,"","",Lonoke County,400493338
G0500870,1990,"","","","","","","",Madison,087,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Madison County,98942624
G0500890,1990,"","","","","","","",Marion,089,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Marion County,111787989
G0500910,1990,"","","","","","","",Miller,091,"","","",7,"",8360,"","","",9999,"",3,Arkansas,05,"","",Miller County,367025172
G0500930,1990,"","","","","","","",Mississippi,093,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Mississippi County,489382920
G0500950,1990,"","","","","","","",Monroe,095,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Monroe County,85261693
G0500970,1990,"","","","","","","",Montgomery,097,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Montgomery County,64274741
G0500990,1990,"","","","","","","",Nevada,099,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Nevada County,96405268
G0501010,1990,"","","","","","","",Newton,101,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Newton County,53649697
G0501030,1990,"","","","","","","",Ouachita,103,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Ouachita County,303696885
G0501050,1990,"","","","","","","",Perry,105,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Perry County,71025981
G0501070,1990,"","","","","","","",Phillips,107,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Phillips County,191581590
G0501090,1990,"","","","","","","",Pike,109,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Pike County,92327623
G0501110,1990,"","","","","","","",Poinsett,111,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Poinsett County,216519122
G0501130,1990,"","","","","","","",Polk,113,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Polk County,153530116
G0501150,1990,"","","","","","","",Pope,115,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Pope County,465092739
G0501170,1990,"","","","","","","",Prairie,117,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Prairie County,81099407
G0501190,1990,"","","","","","","",Pulaski,119,"","","",7,"",4400,"","","",9999,"",3,Arkansas,05,"","",Pulaski County,4762351561
G0501210,1990,"","","","","","","",Randolph,121,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Randolph County,134817692
G0501230,1990,"","","","","","","",St Francis,123,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",St. Francis County,202557836
G0501250,1990,"","","","","","","",Saline,125,"","","",7,"",4400,"","","",9999,"",3,Arkansas,05,"","",Saline County,744940040
G0501270,1990,"","","","","","","",Scott,127,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Scott County,84267760
G0501290,1990,"","","","","","","",Searcy,129,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Searcy County,56393971
G0501310,1990,"","","","","","","",Sebastian,131,"","","",7,"",2720,"","","",9999,"",3,Arkansas,05,"","",Sebastian County,1214518628
G0501330,1990,"","","","","","","",Sevier,133,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Sevier County,121586184
G0501350,1990,"","","","","","","",Sharp,135,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Sharp County,119705747
G0501370,1990,"","","","","","","",Stone,137,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Stone County,75045137
G0501390,1990,"","","","","","","",Union,139,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Union County,491037354
G0501410,1990,"","","","","","","",Van Buren,141,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Van Buren County,120762566
G0501430,1990,"","","","","","","",Washington,143,"","","",7,"",2580,"","","",9999,"",3,Arkansas,05,"","",Washington County,1310092777
G0501450,1990,"","","","","","","",White,145,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",White County,516616536
G0501470,1990,"","","","","","","",Woodruff,147,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Woodruff County,71241882
G0501490,1990,"","","","","","","",Yell,149,"","","",7,"",9999,"","","",9999,"",3,Arkansas,05,"","",Yell County,166718955
G0600010,1990,"","","","","","","",Alameda,001,"","","",9,"",7362,"","","",5775,"",4,California,06,"","",Alameda County,22081037733
G0600030,1990,"","","","","","","",Alpine,003,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Alpine County,15273883
G0600050,1990,"","","","","","","",Amador,005,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Amador County,387676859
G0600070,1990,"","","","","","","",Butte,007,"","","",9,"",1620,"","","",9999,"",4,California,06,"","",Butte County,2165365166
G0600090,1990,"","","","","","","",Calaveras,009,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Calaveras County,429640517
G0600110,1990,"","","","","","","",Colusa,011,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Colusa County,199012358
G0600130,1990,"","","","","","","",Contra Costa,013,"","","",9,"",7362,"","","",5775,"",4,California,06,"","",Contra Costa County,16569720151
G0600150,1990,"","","","","","","",Del Norte,015,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Del Norte County,239754535
G0600170,1990,"","","","","","","",El Dorado,017,"","","",9,"",6920,"","","",9999,"",4,California,06,"","",El Dorado County,1971160812
G0600190,1990,"","","","","","","",Fresno,019,"","","",9,"",2840,"","","",9999,"",4,California,06,"","",Fresno County,7782740184
G0600210,1990,"","","","","","","",Glenn,021,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Glenn County,261076026
G0600230,1990,"","","","","","","",Humboldt,023,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Humboldt County,1444406664
G0600250,1990,"","","","","","","",Imperial,025,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Imperial County,995653577
G0600270,1990,"","","","","","","",Inyo,027,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Inyo County,237431283
G0600290,1990,"","","","","","","",Kern,029,"","","",9,"",0680,"","","",9999,"",4,California,06,"","",Kern County,6489401549
G0600310,1990,"","","","","","","",Kings,031,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Kings County,931145799
G0600330,1990,"","","","","","","",Lake,033,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Lake County,584216377
G0600350,1990,"","","","","","","",Lassen,035,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Lassen County,270394554
G0600370,1990,"","","","","","","",Los Angeles,037,"","","",9,"",4472,"","","",4480,"",4,California,06,"","",Los Angeles County,141490185722
G0600390,1990,"","","","","","","",Madera,039,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Madera County,941305952
G0600410,1990,"","","","","","","",Marin,041,"","","",9,"",7362,"","","",7360,"",4,California,06,"","",Marin County,6459439477
G0600430,1990,"","","","","","","",Mariposa,043,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Mariposa County,177721697
G0600450,1990,"","","","","","","",Mendocino,045,"","","",9,"",9999,"","","",9999,"",4,California,06,"","",Mendocino County,1014659460
